ID,innings,BattingTeam,bowling_team,batter,batsman_run,Balls_Faced,No_of_fours,No_of_sixes,Strike_rate,Season,City,bowler,kind,fielders_involved
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,158,73,10,13,216.44,2008,Bangalore,0,0,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,DJ Hussey,12,12,1,0,100.0,2008,Bangalore,AA Noffke,caught,CL White
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,Mohammad Hafeez,5,3,1,0,166.67,2008,Bangalore,0,0,0
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,20,20,1,1,100.0,2008,Bangalore,JH Kallis,caught,P Kumar
335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,10,12,2,0,83.33,2008,Bangalore,Z Khan,caught,JH Kallis
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,AA Noffke,9,10,1,0,90.0,2008,Bangalore,SC Ganguly,run out,AB Agarkar
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,B Akhil,0,2,0,0,0.0,2008,Bangalore,AB Agarkar,caught,RT Ponting
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,CL White,6,10,0,0,60.0,2008,Bangalore,AB Agarkar,caught,WP Saha
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,8,7,0,1,114.29,2008,Bangalore,AB Agarkar,caught,M Kartik
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,MV Boucher,7,9,1,0,77.78,2008,Bangalore,SC Ganguly,caught,M Kartik
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,P Kumar,18,15,1,2,120.0,2008,Bangalore,0,0,0
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,2,3,0,0,66.67,2008,Bangalore,I Sharma,bowled,0
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,SB Joshi,3,6,0,0,50.0,2008,Bangalore,LR Shukla,caught,BB McCullum
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,1,5,0,0,20.0,2008,Bangalore,AB Dinda,bowled,0
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,6,16,0,0,37.5,2008,Bangalore,AB Dinda,caught,RT Ponting
335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,Z Khan,3,8,0,0,37.5,2008,Bangalore,SC Ganguly,bowled,0
335983,1,Chennai Super Kings,Kings XI Punjab,JDP Oram,13,10,0,1,130.0,2008,Chandigarh,IK Pathan,bowled,0
335983,1,Chennai Super Kings,Kings XI Punjab,MEK Hussey,116,54,8,9,214.81,2008,Chandigarh,0,0,0
335983,1,Chennai Super Kings,Kings XI Punjab,ML Hayden,25,17,4,1,147.06,2008,Chandigarh,IK Pathan,bowled,0
335983,1,Chennai Super Kings,Kings XI Punjab,MS Dhoni,2,3,0,0,66.67,2008,Chandigarh,JR Hopes,lbw,0
335983,1,Chennai Super Kings,Kings XI Punjab,PA Patel,15,10,3,0,150.0,2008,Chandigarh,B Lee,caught,KC Sangakkara
335983,1,Chennai Super Kings,Kings XI Punjab,S Badrinath,31,14,3,2,221.43,2008,Chandigarh,0,0,0
335983,1,Chennai Super Kings,Kings XI Punjab,SK Raina,32,13,2,3,246.15,2008,Chandigarh,WA Mota,caught,IK Pathan
335983,2,Kings XI Punjab,Chennai Super Kings,IK Pathan,3,5,0,0,60.0,2008,Chandigarh,0,0,0
335983,2,Kings XI Punjab,Chennai Super Kings,JR Hopes,71,33,10,3,215.15,2008,Chandigarh,P Amarnath,caught,Joginder Sharma
335983,2,Kings XI Punjab,Chennai Super Kings,K Goel,24,19,2,1,126.32,2008,Chandigarh,MS Gony,caught,PA Patel
335983,2,Kings XI Punjab,Chennai Super Kings,KC Sangakkara,54,33,5,2,163.64,2008,Chandigarh,M Muralitharan,caught,Joginder Sharma
335983,2,Kings XI Punjab,Chennai Super Kings,SM Katich,21,17,0,1,123.53,2008,Chandigarh,0,0,0
335983,2,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,23,13,1,2,176.92,2008,Chandigarh,Joginder Sharma,caught,P Amarnath
335984,1,Rajasthan Royals,Delhi Daredevils,D Salunkhe,26,20,4,0,130.0,2008,Delhi,0,0,0
335984,1,Rajasthan Royals,Delhi Daredevils,DS Lehmann,1,2,0,0,50.0,2008,Delhi,MF Maharoof,lbw,0
335984,1,Rajasthan Royals,Delhi Daredevils,M Kaif,9,19,0,0,47.37,2008,Delhi,R Bhatia,caught,B Geeves
335984,1,Rajasthan Royals,Delhi Daredevils,M Rawat,2,4,0,0,50.0,2008,Delhi,R Bhatia,bowled,0
335984,1,Rajasthan Royals,Delhi Daredevils,RA Jadeja,29,23,2,2,126.09,2008,Delhi,DL Vettori,bowled,0
335984,1,Rajasthan Royals,Delhi Daredevils,SK Trivedi,3,7,0,0,42.86,2008,Delhi,0,0,0
335984,1,Rajasthan Royals,Delhi Daredevils,SK Warne,14,13,2,0,107.69,2008,Delhi,MF Maharoof,bowled,0
335984,1,Rajasthan Royals,Delhi Daredevils,SR Watson,21,15,4,0,140.0,2008,Delhi,R Bhatia,run out,0
335984,1,Rajasthan Royals,Delhi Daredevils,T Kohli,7,12,0,1,58.33,2008,Delhi,GD McGrath,caught,M Manhas
335984,1,Rajasthan Royals,Delhi Daredevils,YK Pathan,10,5,2,0,200.0,2008,Delhi,B Geeves,run out,0
335984,2,Delhi Daredevils,Rajasthan Royals,G Gambhir,58,46,7,1,126.09,2008,Delhi,0,0,0
335984,2,Delhi Daredevils,Rajasthan Royals,S Dhawan,52,41,8,0,126.83,2008,Delhi,0,0,0
335984,2,Delhi Daredevils,Rajasthan Royals,V Sehwag,12,4,3,0,300.0,2008,Delhi,SR Watson,bowled,0
335985,1,Mumbai Indians,Royal Challengers Bangalore,AM Nayar,20,14,1,1,142.86,2008,Mumbai,P Kumar,caught,Z Khan
