ID,BattingTeam,innings,bowling_team,bowler,overs,wickets,runs_conceeded,Balls_Bowled,Econ,Avg,Strike_Rate,noballs,wides,Season,City
335982,Kolkata Knight Riders,1,Royal Challengers Bangalore,AA Noffke,4,1,40,25,10.0,40.0,25.0,0,1,2008,Bengaluru
335982,Kolkata Knight Riders,1,Royal Challengers Bangalore,CL White,1,0,24,7,24.0,0.0,0.0,0,1,2008,Bengaluru
335982,Kolkata Knight Riders,1,Royal Challengers Bangalore,JH Kallis,4,1,52,25,13.0,52.0,25.0,0,1,2008,Bengaluru
335982,Kolkata Knight Riders,1,Royal Challengers Bangalore,P Kumar,4,0,38,25,9.5,0.0,0.0,0,1,2008,Bengaluru
335982,Kolkata Knight Riders,1,Royal Challengers Bangalore,SB Joshi,3,0,26,18,8.67,0.0,0.0,0,0,2008,Bengaluru
335982,Kolkata Knight Riders,1,Royal Challengers Bangalore,Z Khan,4,1,38,24,9.5,38.0,24.0,0,0,2008,Bengaluru
335982,Royal Challengers Bangalore,2,Kolkata Knight Riders,AB Agarkar,4,3,25,28,6.25,8.33,9.33,0,4,2008,Bengaluru
335982,Royal Challengers Bangalore,2,Kolkata Knight Riders,AB Dinda,3,2,9,20,3.0,4.5,10.0,0,2,2008,Bengaluru
335982,Royal Challengers Bangalore,2,Kolkata Knight Riders,I Sharma,3,1,7,19,2.33,7.0,19.0,0,1,2008,Bengaluru
335982,Royal Challengers Bangalore,2,Kolkata Knight Riders,LR Shukla,2,1,12,9,6.0,12.0,9.0,0,2,2008,Bengaluru
335982,Royal Challengers Bangalore,2,Kolkata Knight Riders,SC Ganguly,4,2,21,25,5.25,10.5,12.5,0,1,2008,Bengaluru
335983,Chennai Super Kings,1,Kings XI Punjab,B Lee,4,1,35,25,8.75,35.0,25.0,1,0,2008,Chandigarh
335983,Chennai Super Kings,1,Kings XI Punjab,IK Pathan,4,2,47,24,11.75,23.5,12.0,0,0,2008,Chandigarh
335983,Chennai Super Kings,1,Kings XI Punjab,JR Hopes,4,1,53,24,13.25,53.0,24.0,0,0,2008,Chandigarh
335983,Chennai Super Kings,1,Kings XI Punjab,K Goel,2,0,25,12,12.5,0.0,0.0,0,0,2008,Chandigarh
335983,Chennai Super Kings,1,Kings XI Punjab,PP Chawla,1,0,19,6,19.0,0.0,0.0,0,0,2008,Chandigarh
335983,Chennai Super Kings,1,Kings XI Punjab,S Sreesanth,3,0,35,19,11.67,0.0,0.0,0,1,2008,Chandigarh
335983,Chennai Super Kings,1,Kings XI Punjab,WA Mota,2,1,24,14,12.0,24.0,14.0,0,2,2008,Chandigarh
335983,Kings XI Punjab,2,Chennai Super Kings,JDP Oram,4,0,37,24,9.25,0.0,0.0,0,0,2008,Chandigarh
335983,Kings XI Punjab,2,Chennai Super Kings,Joginder Sharma,4,1,47,25,11.75,47.0,25.0,0,1,2008,Chandigarh
335983,Kings XI Punjab,2,Chennai Super Kings,M Muralitharan,4,1,34,25,8.5,34.0,25.0,0,1,2008,Chandigarh
335983,Kings XI Punjab,2,Chennai Super Kings,MS Gony,4,1,42,26,10.5,42.0,26.0,0,2,2008,Chandigarh
335983,Kings XI Punjab,2,Chennai Super Kings,P Amarnath,4,1,43,24,10.75,43.0,24.0,0,0,2008,Chandigarh
335984,Delhi Daredevils,2,Rajasthan Royals,D Salunkhe,1,0,11,7,11.0,0.0,0.0,0,1,2008,Delhi
335984,Delhi Daredevils,2,Rajasthan Royals,MM Patel,3,0,25,18,8.33,0.0,0.0,0,0,2008,Delhi
335984,Delhi Daredevils,2,Rajasthan Royals,SK Trivedi,3,0,32,21,10.67,0.0,0.0,0,3,2008,Delhi
335984,Delhi Daredevils,2,Rajasthan Royals,SK Warne,2,0,16,12,8.0,0.0,0.0,0,0,2008,Delhi
335984,Delhi Daredevils,2,Rajasthan Royals,SR Watson,4,1,31,25,7.75,31.0,25.0,0,1,2008,Delhi
335984,Delhi Daredevils,2,Rajasthan Royals,YK Pathan,3,0,17,14,5.67,0.0,0.0,0,1,2008,Delhi
335984,Rajasthan Royals,1,Delhi Daredevils,B Geeves,4,0,41,24,10.25,0.0,0.0,0,0,2008,Delhi
