ID,innings,BattingTeam,bowling_team,total_run_y
1312200,1,Rajasthan Royals,Gujarat Titans,130
1312200,2,Gujarat Titans,Rajasthan Royals,133
1312199,1,Royal Challengers Bangalore,Rajasthan Royals,157
1312199,2,Rajasthan Royals,Royal Challengers Bangalore,161
1312198,1,Royal Challengers Bangalore,Lucknow Super Giants,207
1312198,2,Lucknow Super Giants,Royal Challengers Bangalore,193
1312197,1,Rajasthan Royals,Gujarat Titans,188
1312197,2,Gujarat Titans,Rajasthan Royals,191
1304116,1,Sunrisers Hyderabad,Punjab Kings,157
1304116,2,Punjab Kings,Sunrisers Hyderabad,160
1304115,1,Delhi Capitals,Mumbai Indians,159
1304115,2,Mumbai Indians,Delhi Capitals,160
1304114,1,Chennai Super Kings,Rajasthan Royals,150
1304114,2,Rajasthan Royals,Chennai Super Kings,151
1304113,1,Gujarat Titans,Royal Challengers Bangalore,168
1304113,2,Royal Challengers Bangalore,Gujarat Titans,170
1304112,1,Lucknow Super Giants,Kolkata Knight Riders,210
1304112,2,Kolkata Knight Riders,Lucknow Super Giants,208
1304111,1,Sunrisers Hyderabad,Mumbai Indians,193
1304111,2,Mumbai Indians,Sunrisers Hyderabad,190
1304110,1,Delhi Capitals,Punjab Kings,159
1304110,2,Punjab Kings,Delhi Capitals,142
1304109,1,Rajasthan Royals,Lucknow Super Giants,178
1304109,2,Lucknow Super Giants,Rajasthan Royals,154
1304108,1,Chennai Super Kings,Gujarat Titans,133
1304108,2,Gujarat Titans,Chennai Super Kings,137
1304107,1,Kolkata Knight Riders,Sunrisers Hyderabad,177
1304107,2,Sunrisers Hyderabad,Kolkata Knight Riders,123
1304106,1,Punjab Kings,Royal Challengers Bangalore,209
1304106,2,Royal Challengers Bangalore,Punjab Kings,155
1304105,1,Chennai Super Kings,Mumbai Indians,97
1304105,2,Mumbai Indians,Chennai Super Kings,103
1304104,1,Rajasthan Royals,Delhi Capitals,160
1304104,2,Delhi Capitals,Rajasthan Royals,161
1304103,1,Gujarat Titans,Lucknow Super Giants,144
1304103,2,Lucknow Super Giants,Gujarat Titans,82
1304102,1,Kolkata Knight Riders,Mumbai Indians,165
1304102,2,Mumbai Indians,Kolkata Knight Riders,113
1304101,1,Chennai Super Kings,Delhi Capitals,208
1304101,2,Delhi Capitals,Chennai Super Kings,117
1304100,1,Royal Challengers Bangalore,Sunrisers Hyderabad,192
1304100,2,Sunrisers Hyderabad,Royal Challengers Bangalore,125
1304099,1,Lucknow Super Giants,Kolkata Knight Riders,176
1304099,2,Kolkata Knight Riders,Lucknow Super Giants,101
1304098,1,Punjab Kings,Rajasthan Royals,189
1304098,2,Rajasthan Royals,Punjab Kings,190
1304097,1,Mumbai Indians,Gujarat Titans,177
1304097,2,Gujarat Titans,Mumbai Indians,172
1304096,1,Delhi Capitals,Sunrisers Hyderabad,207
1304096,2,Sunrisers Hyderabad,Delhi Capitals,186
1304095,1,Royal Challengers Bangalore,Chennai Super Kings,173
1304095,2,Chennai Super Kings,Royal Challengers Bangalore,160
